trad,simp,skt,n_chars,n_syl,align,pos,phon_score,source_file,promoted_by
路迦,路迦,loka,2,2,exact,noun,1.0,nti_ambiguous.csv,step56 both-initials test
娑呵,娑呵,sahā,2,2,exact,noun,1.0,nti_ambiguous.csv,step56 both-initials test
計都,计都,ketu,2,2,exact,noun,1.0,nti_ambiguous.csv,step56 both-initials test
牟藍,牟蓝,mūla,2,2,exact,proper noun,1.0,nti_ambiguous.csv,step56 both-initials test
暮羅,暮罗,mūla,2,2,exact,proper noun,1.0,nti_ambiguous.csv,step56 both-initials test
舍夷,舍夷,Śākya,2,2,exact,proper noun,1.0,nti_ambiguous.csv,step56 both-initials test
伽耶,伽耶,gayā,2,2,exact,proper noun,1.0,nti_ambiguous.csv,step56 both-initials test
伽邪,伽邪,gayā,2,2,exact,proper noun,1.0,nti_ambiguous.csv,step56 both-initials test
部陀,部陀,budha,2,2,exact,proper noun,1.0,nti_ambiguous.csv,step56 both-initials test
羅陀,罗陀,rādha,2,2,exact,proper noun,1.0,nti_ambiguous.csv,step56 both-initials test
波羅,菠萝,pala,2,2,exact,noun,1.0,nti_ambiguous.csv,step56 both-initials test
伽羅,伽罗,kalā,2,2,exact,proper noun,1.0,nti_ambiguous.csv,step56 both-initials test
波慕,波慕,padma,2,2,exact,noun,1.0,nti_ambiguous.csv,step56 both-initials test
摩訶,摩诃,mahā,2,2,exact,adjective,1.0,nti_ambiguous.csv,step56 both-initials test
犍度,犍度,skandha,2,2,exact,noun,1.0,nti_ambiguous.csv,step56 both-initials test
建陀,建陀,skandha,2,2,exact,noun,1.0,nti_ambiguous.csv,step56 both-initials test
建圖,建图,skandha,2,2,exact,noun,1.0,nti_ambiguous.csv,step56 both-initials test
乾度,干度,skandha,2,2,exact,noun,1.0,nti_ambiguous.csv,step56 both-initials test
騫茶,骞茶,skanda,2,2,exact,proper noun,1.0,nti_ambiguous.csv,step56 both-initials test
難陀,难陀,nanda,2,2,exact,proper noun,1.0,nti_ambiguous.csv,step56 both-initials test
居樓,居楼,kuru,2,2,exact,proper noun,1.0,nti_ambiguous.csv,step56 both-initials test
槃頭,槃头,pāṇḍu,2,2,exact,proper noun,1.0,nti_ambiguous.csv,step56 both-initials test
盧至,卢至,ruci,2,2,exact,proper noun,1.0,nti_ambiguous.csv,step56 both-initials test
盧遮,卢遮,ruci,2,2,exact,proper noun,1.0,nti_ambiguous.csv,step56 both-initials test
